acta,producto,muestra,clasificacion,articulos,rotulado_frontal,marca,fecha_de_analisis,habilitacion_de_producto,vencimiento,lote,contenido_neto
128113,Helado de agua con preparado de limón,774547,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-12-30,1395/1159,2026-03-27,260327C,525 g / 1 L
128111,LECHE ENTERA UHT. Libre de gluten,774553,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-12-30,1395/758,2025-08-14,510982138 08,1L
128113,HELADO DE  FRUTILLA SIN AZUCARES AGREGADOS,774548,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA CIGALE,2024-12-30,2440/501,2025-11-08,1114,800 ml / 580 g
128113,HELADO DE AGUA SABOR NARANJA,774549,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-12-30,1395/50,2026-10-08,261008   S1,58 g
128113,Helado de agua sabor limon,774551,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-12-30,1395/913,2026-10-29,261029 S,58 g
128111,Leche UHT descremada Larga Vida. Libre de gluten,774555,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,BLANCANUBE,2024-12-30,1395/1013,2025-08-05,509481337 02,1L
128112,JUGO DE NARANJA,774557,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,GROW,2024-12-30,17779/213,2025-11-12,12 11004,1 L
128111,LECHE DESCREMADA UHT ADICIONADA DE VITAMINAS A Y D3. LIBRE DE GLUTEN,774552,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-12-30,1395/1184,2025-04-29,50878188 09,1L
128111,LECHE DESCREMADA UHT - Libre de gluten,774554,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-12-30,1395/757,2025-07-29,508682137 05,1L
128113,HELADO DE AGUA SABOR FRUTILLA,774550,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CONAPROLE,2024-12-30,1395/47,2026-02-13,260213 S,58 g
128111,Leche parcialmente descremada UAT homogeneizada. adicionada con vitaminas A y D. Sin lactosa. libre de gluten,774556,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA SERENISIMA,2024-12-30,19271/1169,2025-02-22,078034009008,1L
128112,Néctar de pomelo orgánico reducido en azúcares con 50% de pulpa y jugo libre de gluten,774558,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,CAMPO CLARO,2024-12-30,8345/1271,2025-03-21,220324017,1 L
128110,ANANAS EN ALMIBAR,774545,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,LA CAMPAGNOLA,2024-12-27,1409/2897,2025-07-28,L072822,825 g
128110,PERAS EN MITADES EN  ALMIBAR DILUIDO LIBRE DE GLUTEN,774544,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,RIO DE LA PLATA,2024-12-27,5529/1744,2027-03-31,L:16/07/2024 14:33,820 g
128110,DURAZNOS AMARILLOS EN MITADES COMUNES EN JARABE DILUIDO LIBRE DE GLUTEN,774546,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,ARCOR,2024-12-27,1409/8403,2026-01-31,43323 14:30,820 g
128109,DURAZNOS EN ALMIBAR LIVIANO EN MITADES,774543,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,SUNSET,2024-12-26,35050/274,2027-01-31,L-03424 20:17,820 g
128109,DURAZNOS MITADES EN ALMÍBAR,774541,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PRECIO LÍDER,2024-12-26,8345/1586,2027-05-26,L:NV00NE,830 g
128109,Ananá en rodajas en almíbar,774542,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,PRECIO LÍDER,2024-12-26,8345/1585,2027-09-30,PAB002,830 g
128108,CEREZAS CONFITADAS,774539,Fuera de las condiciones reglamentarias,Resolución S/N/2024 Reglamento Normativo de Productos Art. 10. El registro del producto está vencido.,En condiciones,EMIGRANTE,2024-12-23,4817/1280,2025-05-31,29482,400 g
128106,DURAZNOS EN ALMIBAR LIVIANO EN MITADES,774536,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,DEMAS,2024-12-20,35050/277,2027-01-31,L-03324 10:52 ENV ENERO-2024,820 g
128106,DURAZNOS EN MITADES EN ALMÍBAR DIETÉTICO 68% REDUCIDOS EN CALORÍAS LIBRE DE GLUTEN,774535,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,EQUADOR,2024-12-20,11913/2762,2026-01-31,L-28623 06:45,800 g
128106,HIGOS EN ALMIBAR CONCENTRADO,774531,La muestra analizada no presenta particularidades desde el punto de vista quimico para los parametros analizados,,En condiciones,COSECHA DORADA,2024-12-20,7661/56,2027-02-09,Fab:09/02/2024 SOL003FIGO,790 g
